title	date	writer	keyword	contents
[키워드로 보는 사설] 공론화위원회와 숙의 민주주의	2017.10.31		공론화위원회|숙의 민주주의|6호기 공론화위원회|숙의 기간|키워드로 보는 사설|	숙의 민주주의(Deliberative Democracy)란 정치나 정책 현안들을 시민 사이의 공정하고 이성적인 토론으로 풀어가는 과정을 일컫는다. 민주주의에서 ‘다수가 곧 정의’는 많은 부작용을 낳았다. 사회적으로 큰 손해를 가져올 정책들도 표를 많이 얻은 측이 마음만 먹으면 얼마든지 실행할 수 있기 때문이다. 숙의 민주주의는 이해관계의 조정이 아닌 ‘공익’의 관점에서 정책을 바라보고 평가한다. 이를 위해서는 논의하는 과정에서 정보가 충실하게 주어져야 하고, 대립하는 주장들을 균형 있게 들어야 하며, 참여자들이 사회 전체를 대표할 만큼 다양해야 하고, 평등한 분위기에서 토론이 이루어져야 한다. 나아가 결론은 내세워진 주장이 설득력 있는지에 따라 가려져야 한다.     신고리 5·6호기 공론화위원회는 긴 논의 끝에 건설 재개 59.5%, 중단 40.5%라는 결론에 이르렀다. 일반인 여론조사에서는 건설 재개와 중단의 비율이 오차범위 안에 머물 정도로 근소한 차이만 보였다. 진지한 학습과 많은 토론 기회, 충분한 숙의 기간을 거치면 ‘민의(民意)’도 바뀔 수 있음을 보여주는 사례라 하겠다.
[키워드로 보는 사설] 슈뢰더의 개혁	2017.10.24		키워드|슈뢰더 총리|하르츠 개혁|임금 삭감과|키워드로 보는 사설|	노동자들의 지지를 얻어 당선된 사민당 출신의 슈뢰더 총리는 2003년 경제성장률 -0.4%라는 최악의 경제위기에 봉착하자 ‘하르츠 개혁’을 통해 임금 삭감과 노동시장 유연화를 추진했고, 독일 경제를 성장으로 이끌었다. 그의 개혁은 국민들에게 고통을 요구했다. 실제로 10여 년간 노동자들의 급여는 많이 오르지 않았고 부의 배분도 불평등했다. 결국 슈뢰더는 지지기반이던 노동계 반발로 총리 자리를 기민당의 앙겔라 메르켈에게 넘겨줘야 했지만 마지막 순간에도 대연정을 성사시켜 개혁의 연속성까지 확보하고 나서 물러났다.
[키워드로 보는 사설] 도급과 파견, 불법 파견	2017.10.17		파견|도급과 파견|불법 파견|파견근로자 보호|키워드로 보는 사설|	지난 30여 년간 노동현장에서는 도급이나 파견 등의 간접 고용이 꾸준히 늘었다. ‘파견’은 파견업체(용역업체)와 사용사업주 간에 계약이 이뤄지며 노동자는 용역업체에 고용된 상태에서 사용사업주의 지휘·명령을 받고 일한다. 경비원처럼 용역업체 소속이지만 업무 지시는 현장관리자에게 받는 경우를 떠올릴 수 있다. 파견근로자 보호 등에 관한 법률(파견법)에서는 노동자의 고용 안정과 복지를 위한 규정이 제시돼 있고, 허가받은 파견업체가 법을 위반하지 않으면서 고용 관계를 유지하면 합법적 파견이 된다.     한편 ‘도급’은 일의 완성을 목적으로 하여 계약을 맺는 것으로 하청이 일을 완성하면 원청이 그 일의 결과에 대해 보수를 지급하는 형태다. 원청은 일의 결과에 대해서만 대가를 지불하면 되므로 하청업체가 고용한 노동자의 근로에 관해 간섭할 수 없고, 노동자의 사업장은 일의 성격에 따라 다양하게 결정된다.     이처럼 직접 고용은 노동자의 고용과 사용이 일치하지만 간접 고용은 고용과 사용이 분리된다. 관계가 복잡한 간접 고용에서 편법이 발생할 여지가 생긴다. 파리바게뜨의 경우에도 제빵기사를 고용한 협력업체가 가맹점주와 도급계약을 맺었는데, 본사 직원이 제빵기사에게 업무 지시와 채용 및 승진에 관여했기 때문에 문제가 됐다. 이에 대해 고용부는 형식상 도급이지만 실제로는 사용자성을 띤다고 여겨 ‘불법 파견’이라고 판정했다.
[키워드로 보는 사설] 대한민국 대법원장	2017.10.10		대한민국|대한민국 대법원장|김명수 대법원장|양승태 대법원장|키워드로 보는 사설|	대법원장은 국회의 동의를 얻어 대통령이 임명하며, 그 자격은 15년 이상의 법조 경력을 가진 40세 이상인 자로 하고 있다. 임명 방법은 여러 가지가 있을 수 있으나, 제4공화국과 제5공화국 및 제6공화국의 헌법에는 국회의 동의를 얻어 대통령이 임명하도록 돼 있다.     대법원장의 임기는 6년이며 중임할 수 없고, 대법원장은 대법관이 아닌 법관의 임명권을 가지며 기타 사법행정권을 총괄한다. 또한 대법원의 일반사무를 관장해 대법원의 직원과 관하 법원의 법원행정사무 및 그 직원을 지휘·감독하고, 대법관회의의 의장이 되며, 전원합의체의 재판장으로서의 지위를 가진다.     그 밖에 대법원장의 권한 가운데 중요한 것으로는 대법관 임명제청권, 각급 판사 보직권, 헌법재판소 재판관 지명권, 중앙선거관리위원회위원 지명권, 법원 직원 임명권과 사법행정권 등이 있다. 대법원장은 탄핵 결정, 금고 이상의 형의 선고에 의하지 않고는 파면되지 않으며, 법관징계위원회의 징계처분에 의하지 않고는 정직과 감봉 또는 불리한 처분을 받지 않는다.     대법원장이 궐위되거나 유고 시에는 선임 대법관이 그 권한을 대행한다. 정부 수립과 함께 1948년 8월 김병로 초대 대법원장이 임명된 이래 15대 양승태 대법원장(2011년 9월 25일~2017년 9월 24일)에 이어 지난달 25일 16대 김명수 대법원장이 취임했다.     김명수 신임 대법원장은 1959년생으로 부산 출신이며 사법연수원 15기로 그동안 춘천지방법원장, 강원도 선거관리위원장 등을 거쳤다. 국제인권법연구회 초대 회장을 맡았으며 비교적 진보적인 판결 등으로 문재인 정부로부터 사법 개혁을 추진할 적임자로 기대를 모으고 있다.
[키워드로 보는 사설] 대북 인도적 지원	2017.09.26		키워드로 보는 사설|키워드|북핵 문제|대북 지원|대북 인도적|	지난 21일 정부는 세계식량계획(WFP), 유니세프 등의 국제기구가 펼치는 대북 인도적 사업에 800만 달러(90억원)를 공여하기로 결정했다. 다만 구체적 시기와 규모는 남북관계 상황 등을 고려해 결정하겠다고 밝혔다.     구체적인 지원 내용은 아동·임산부 대상 영양 강화 사업에 450만 달러, 아동·임산부 대상 백신과 필수의약품·영양실조치료제 사업에 350만 달러를 지원하는 것으로 돼 있다. 현재 우리 정부가 독자적으로 대북 지원을 하는 경우는 없다. 이번 논의도 WFP와 유니세프가 정부에 공여를 요청하면서 시작됐다.     지원은 현금이 아닌 현물로 지급된다. 북한의 탁아시설과 소아병동에 단백질·미네랄·비타민 등을 혼합한 수퍼시리얼과 수퍼비스킷을 제공하며, 1세 미만 아동에게 결핵·B형간염·홍역·소아마비 등의 백신을 접종한다. 설사와 호흡기감염병 등 아동에게 필수적인 의약품도 지원한다. 이 모두는 현금이 아닌 100% 현물 지원이므로 군사 등의 목적으로 전용될 우려가 없다는 것이 정부 측 주장이다.     유엔 통계에 따르면 9월 기준으로 미국(100만 달러), 러시아(300만 달러), 스위스(700만 달러), 스웨덴(150만 달러), 프랑스(49만 달러) 등 여러 나라가 국제기구를 통해 대북 지원을 하고 있다. 이 때문에 정부는 인도적 차원의 대북 지원과 북핵 문제 사이에는 연결 고리가 없다고 말한다. 그러나 자유아시아방송(RFA) 등에 따르면 북한에 지원하는 영양과자 등이 인민군의 비상식량으로 둔갑하고 지원 물자가 일부 특권층의 외화벌이 사업에 이용된다는 주장도 있다.
[키워드로 보는 사설] 신의성실의 원칙(信義誠實의 原則)	2017.09.19		신의성실|이상 계약내용|계약 당시|계약 내용|키워드로 보는 사설|신의성실의 원칙|	일단 계약을 한 이상 계약내용은 당연히 지켜져야 한다. 그러나 어떤 경우를 막론하고 계약을 지키라고 한다면 때로는 부당한 결과가 발생할 수도 있다. 민법이 규정하고 있는 ‘신의성실의 원칙 또는 신의칙’이란 당연한 권리를 행사하더라도 상대방의 형편과 사정을 고려하면서 하라는 원칙이다. 가령 당사자가 책임질 수 없는 불가피한 사유로, 계약 당시에는 당사자가 미처 예상할 수도 없었던 사유로, 계약을 이행할 수 없는 사정이 발생하였을 경우에는 신의·공평의 견지에서 계약 내용을 개정하든가, 그것이 불가능할 때는 계약의 해제를 인정해야 한다는 것이다. 그러나 계약의 변경을 안이하게 인정하게 되면 거래(去來)는 혼란에 빠질 우려가 있다. 현대중공업·금호타이어는 1심에서 신의칙이 부정됐지만 2심에서는 인정됐다.
[키워드로 보는 사설] 패러다임 전환을 예고한 패키지 교육개혁	2017.09.12		패러다임|패키지 교육개혁|패러다임 전환|교육 패러다임|키워드로 보는 사설|	지난 8월 31일 김상곤 교육부총리는 2021학년도 수능개편안을 1년간 유예한다고 밝혔다. 유예하는 까닭은 새 정부 탄생 이후 제한된 시간 내에 교원 간담회, 학부모 경청투어, 권역별 공청회 등을 거치면서 이해와 입장의 차이가 첨예하였고 짧은 기간 동안 국민적 공감과 합의를 이끌어내는 데 한계가 있었기 때문이라고 언급했다. 혼란이 예상됨에도 불구하고 ‘학교 체제와 대입전형 전반’에 걸쳐 공정성과 신뢰성을 확보할 수 있는 근본적인 대책을 마련하겠다는 방향도 제시했다. 대책 마련의 범위는 수능 개편과 더불어 고교체제, 고교학점제, 성취평가제, 내신제도, 대입제도 등을 모두 아우를 예정이며 고교 교육 정상화 방안과 대입 정책까지 포괄적으로 다룰 것을 약속했다. 예고한 정책 가운데 만만하거나 바꾸기 쉬운 쟁점은 하나도 없다. 그러나 경쟁과 선발을 중심에 둔 교육 패러다임을 바꿔서 미래 사회의 창의적 인재를 양성하고 학생 성장 중심의 교육 철학을 현장에 구현되도록 하겠다고 단언했다.     교육개혁은 국가사회적 요구도 폭넓게 성찰해야 하고 교육 내적 변화의 요구도 반영해야 한다. 사회가 요구하는 ‘역량 의제’ 안에 경제성장과 더불어 공동체의 정의 가치도 중요하게 반영해야 한다. 학교에서 수행할 교육 과정과 방법 안에는 성공뿐 아니라 행복 가치도 함께 녹아들어야 한다. 이 시점에 ‘소통의 교육부’ 지향은 가장 필요한 원칙이고 그래서 더 반갑다.
[키워드로 보는 사설] 안철수의 ‘새 정치’	2017.09.05		안철수|사설|정치적 주장|한때 정치|한국 정치|키워드로 보는 사설|	지난 몇 년간 한국 정치에서 안철수 전 의원은 매우 다양한 평가의 대상이었고, 그가 주장했던 ‘새 정치’는 희망을, 그로부터 구체화된 실체는 실망을 가져다준 양면적 정치인이었다. 이런 그의 정치적 주장의 모호성과 양면성은 지금도 여전하다.     조용한 품성의 대학 교수이자 유능한 기업 경영인이었던 그가 정치에 발을 담근 이후 서울시장 후보로 오르내렸고, 새로운 당을 창당하고 지역구 국회의원에도 당선되었을 뿐 아니라 대통령 후보로 대선에까지 도전하는 등 비교적 짧은 기간 안에 매우 다양한 정치적 경험을 한 정치인이 되었다.     지난 대선 패배 이후 정계 은퇴설까지 나왔지만 안철수 전 의원은 많은 사람의 예상을 깨고 국민의당 대표 경선에 도전해 새로운 대표가 됨으로써 그의 정치적 실험과 도전은 아직 끝나지 않았음을 모든 국민에게 선언했다.     정치인의 등장과 퇴장은 결국 국민이 결정하는 시대가 되었다. 음모와 계략으로 정치를 하나의 거래나 권력 암투의 대상으로 삼았던 과거의 정치는 이제 사라졌다. 정치인도 콘텐트로 인정받고 능력으로 평가받는 투명한 세상이다. 한때 안철수 정치, 안철수 현상으로까지 불리면서 많은 국민의 환호와 기대를 한 몸에 받았던 안 대표가 과연 그때 그 ‘새 정치’를 이제는 손에 잡히는 실체를 가지고 다시 국민에게 인정받을 수 있을지가 궁금하다.     제2야당 대표로 다시 정치 일선으로 돌아온 안철수 대표가 지향하는 정치의 실체가 과연 어떤 모습일지 국민은 기다리고 있다.
[키워드로 보는 사설] 역대 대통령들의 국민과의 소통 노력	2017.08.29		사설|키워드|역대 대통령들|노태우 대통령|소통 노력|키워드로 보는 사설|	문재인 대통령은 취임 100일 만에 기자회견을 열었다. 박 전 대통령의 첫 기자회견은 취임 후 무려 10여 개월 뒤에 이루어졌다. 그것도 ‘신년 기자회견’을 겸한 자리였다. 이후로 박 대통령의 ‘불통’의 이미지는 점점 단단해졌다. 노태우 대통령 이후 역대 대통령들은 여러 방식으로 국민과의 대화 자리를 가졌다. 1990년 ‘6·29 선언’ 3주년 대화 자리에서 청와대는 각계인사 120명을 초청해 대통령과의 대화 프로그램을 진행했다. 김대중 정부 때는 98년 1월부터 2001년 3월까지 네 차례의 국민과의 대화가 이뤄졌다.     노무현 대통령은 취임 첫해에 기자회견을 11차례나 열었다. 나아가 ‘검사와의 대화’처럼 특정 집단과 직접 소통에 나서기도 했고 국민과의 ‘인터넷 대화’도 시도했다. 이명박 대통령도 2008년 9월 취임 200일을 즈음해 ‘대통령과의 대화’를 열었고, 2009년에는 세종시와 4대 강 사업 등 각종 현안을 놓고 국민과의 대화 시간을 가졌다. 박근혜 대통령은 국민과의 대화나 기자회견보다 주로 ‘대국민 담화’로 자신의 생각을 전달했다.
[키워드로 보는 사설] 국민개세주의(國民皆稅主義)	2017.08.22		사설|국민|부자 증세론|소득 형편|반박 논리|키워드로 보는 사설|	모든 국민은 적은 액수라도 세금을 내야 한다는 원칙을 말한다. 국민개세주의는 본래 절대왕권이 성립되기 이전에 농민과 상인 계층과는 달리 면세특권을 누리던 귀족층에게도 세금을 거두기 위해 도입된 논리다. 우리의 헌법 제38조는 ‘모든 국민은 법률이 정하는 바에 의하여 납세의 의무를 진다’고 해 국민개세주의를 천명하고 있다. 하지만 이는 각자의 소득 형편을 전제로 해 납세의무를 진다는 의미이지 소득과 관계없이 모든 국민이 세금을 내야 한다는 의미는 아니다. 최근 글로벌 금융위기를 겪은 이후 부자에게 더 많은 세금을 거둬야 한다는 일명 ‘버핏세’ 등 부자 증세론에 대한 반박 논리로 국민개세주의의 목소리가 높아졌다.
[키워드로 보는 사설] 교육의 질과 학급당 학생 수 감축	2017.08.15		사설|키워드|학급당 학생|삼아 학급당|교육감 결정|키워드로 보는 사설|	교육의 질과 연관된 교육 여건 개선의 제1 과제는 늘 학급당 학생 수였다. 초등학교의 경우 경제협력개발기구(OECD) 평균은 21.1명이고, 한국은 22.2명이다(2016년). 만약 현행대로 학급 수를 그대로 둔다면 학급당 학생 수는 20.5명(2025년)을 거쳐 19.8명(2030년)이 된다고 한다. 그동안 교육당국은 학생 수가 주니 학급 수도 줄이는 쪽으로 정책을 펼쳤다. 학급 수를 줄이면 교원 수도 함께 준다. 그러나 교육은 인간을 기르고 인간은 개인으로 성장한다. 인구절벽을 기회로 삼아 학급당 인원을 줄이면 좀 더 창의적 협력 수업을 펼칠 공간이 늘어난다. 현재 학급 수나 학생 수는 교육감 결정 권한이다. 양질의 교육을 위한 방안이라면 지역의 상황을 고려해 교육감 각자의 권한하에 최대치의 노력을 다해야 한다.
[키워드로 보는 사설] 한국의 검찰총장	2017.08.08		사설|검찰총장|임기제 검찰총장|법무부 장관|검찰청법 제8조|키워드로 보는 사설|	검찰총장은 검찰청을 대표하는 직위로 다른 외청장과는 달리 장관급이다. 검찰총장후보추천위원회의 후보자를 추천받아 법무부 장관의 제청으로 대통령이 임명하는데 국회는 임명에 대한 인사청문회를 실시한다. 검찰총장은 검찰 조직상으로는 최고의 지위에 있으나, 신분적으로는 법무부 장관의 지휘·감독을 받게 되어 있다. 그런데 법무부 장관은 국무위원이고 정치적 공무원이므로 검찰사무가 정치적 영향을 받아 좌우될 위험성이 많다. 그리하여 이러한 정치적 영향을 방지할 목적으로 검찰청법 제8조에서 “법무부 장관은 검찰사무의 최고 감독자로서 일반적으로 검사를 지휘·감독한다. 구체적 사건에 대하여는 검찰총장만을 지휘·감독한다”라고 규정해 법무부 장관이 직접 구체적 사건에 대해서는 간섭할 수 없게 하고 있다. 따라서 검찰총장은 법무부 장관과 검사 사이에서 정치적 방파제로서의 지위와 기능을 담당하고 있다. 과거에는 임명제였으나 1988년 12월 검찰청법에 의거해 임기제로 바뀌면서 첫 임기제 검찰총장이 같은 해 12월 6일 취임했다. 임기는 2년이며 중임할 수 없다. 1948년 초대 권승렬 검찰총장 이래 문무일 신임 검찰총장은 42대 총장이다.
[키워드로 보는 사설] 문재인 정부의 국정운영 5개년 계획	2017.08.01		문재인|계획 발표행사|국정과제 정책콘서트|국정 목표|키워드로 보는 사설|	지난달 19일 대통령직인수위원회 격인 국정기획자문위원회는 문재인 정부가 향후 5년간 추진할 ‘국정운영 5개년 계획’을 발표했다. 계획서 안에는 5대 국정 목표와 20대 국정 전략, 이에 대한 100대 국정과제와 487개 실천과제가 담겨 있다. ‘100대 국정과제 정책콘서트’라는 대국민 보고 형식으로 진행된 계획 발표행사에서는 “국민의 나라, 정의로운 대한민국”을 국가 비전으로 선포했으며 소통으로 통합하는 광화문 대통령, 투명하고 유능한 정부, 권력기관의 민주적 개혁 등으로 국민이 참여하고 주인이 되는 정부를 만들겠다는 의지를 분명히 했다.     5대 국정 목표는 ‘국민이 주인인 정부’ ‘더불어 잘사는 경제’ ‘내 삶을 책임지는 국가’ ‘고르게 발전하는 지역’ ‘평화와 번영의 한반도’로 돼 있다.     하지만 국정운영 5개년 계획이 결실을 거두기까지는 많은 난관을 넘어야 한다. 100대 과제 중 법률 제·개정이 필요한 과제가 91개에 이르는 현실에서 야당의 동의를 끌어내야 할뿐더러 178조원에 이르는 재원을 어떻게 마련할지에 대한 구체적인 방안도 필요하다.
[키워드로 보는 사설] 낙수 효과와 분수 효과	2017.07.25		사설|키워드|낙수 효과|분수 효과|소비 증가|키워드로 보는 사설|	낙수는 위에서 아래로 흐르고, 분수는 밑에서 위로 솟구친다. 낙수 효과란 고소득층과 부유층의 소득이 증대되면 더 많은 투자가 이뤄져 경기가 부양되고, 전체 국내총생산(GDP)이 증가하면서 저소득층에게도 혜택이 돌아가 소득 양극화가 해소된다는 견해다. 그러나 현실은 달랐다. 낙수 효과를 전제로 한 경제성장 전략은 거꾸로 소득양극화와 중산층의 붕괴를 가져왔다. 이에 낙수 효과를 폐기하고 분수 효과를 꾀해야 한다는 주장이 대두됐다. 부유층의 세금은 늘리고 저소득층에 대한 지원을 늘리면 소비 증가를 가져올 것이고, 소비가 증가하면 생산투자로 이어져 경기가 부양될 것이라는 생각이 분수 효과의 요체다. 문재인 정부의 ‘소득 주도 성장’도 이에 바탕을 두고 있다.   
[키워드로 보는 사설] ‘오직 평화’ 남북 정상회담	2017.07.18		정상회담|사설|남북 정상회담|평화협정 체결|대륙간탄도미사일 실험|키워드로 보는 사설|	베를린 구상에서 문재인 대통령은 “핵 문제와 평화협정을 포함해 남북한의 모든 관심사를 대화 테이블에 올려놓고 논의하자”며 “오직 평화”라고 강조했다. 그동안 북한은 미국의 위협 앞에서 자신들은 북핵을 통해 자구 수단을 가질 수밖에 없다는 자세로 일관했다. 대화를 하고 싶으면 한·미 합동 군사훈련 중단과 주한미군부터 철수하라는 입장이다. 핵보유국의 지위를 인정받으면서 동시에 평화협정 체결을 노리는 북한에 대해 남한은 우선 핵부터 폐기해야 경제적 지원과 대화가 가능하다는 입장이었다. 이에 대해 미국의 버락 오바마 정부는 ‘전략적 인내’를 내걸고 북한과 대화하지 않는 노선을 취해 왔다. 도널드 트럼프 대통령은 북한의 대륙간탄도미사일 실험을 보고받고 ‘감내할 수 없는 강력한 제재’를 천명했다. 반면 중국의 기본 원칙은 북핵·미사일 실험 동결과 한·미 연합 군사훈련의 중지를 동시에 시행하라는 입장이다. 신뢰가 깨진 상황에서는 남북한 모두가 만족스럽지 않은 대안들이다.     이 상황에서 문 대통령은 단계적 접근을 제시했다. 한·미 정상회담으로 가는 비행기 안에서 “북핵 동결은 대화의 입구, 출구는 완전 핵 폐기”라며 대화를 위한 우선적인 과제를 핵 동결에 뒀다. 베를린 구상에서는 ‘오직 평화’를 강조하기 위해 약속한 것이 바로 ‘북한 체제의 안전을 보장하는 비핵화’다. 그리고 ‘북한 붕괴를 바라지 않고, 흡수통일도 추진하지 않으며, 인위적인 통일을 추구하지도 않겠다’고도 했다.
[키워드로 보는 사설] 세계 각국의 원전 정책	2017.07.11		사설|키워드|탈원전 정책|세계 각국|원자력 정책|키워드로 보는 사설|	세계 각국의 원자력 정책은 2011년 후쿠시마 원전 사고를 기점으로 크게 변하고 있다. 사고 이전에는 세계 각국의 원자력 에너지를 지구온난화에 대한 대안 에너지로서 석유에 비해 경제적으로 안정적인 에너지원으로 여겼다. 원자력을 이미 이용하고 있던 나라는 원전 확대 정책을, 아직 원자력 에너지가 없는 나라들은 원전 건설 정책을 추진했다. 그러다가 후쿠시마 원전 사고 이후 탈원전 혹은 원전 축소 정책이 독일 등 유럽 국가들을 중심으로 특히 강하게 표출됐다. 그러나 사고 후 2~3년이 지나자 원자력 에너지에 대한 신뢰가 조금씩 회복되면서 원자력을 다시 추진하려는 국가와 여전히 탈원전 정책을 주장하는 국가들로 나뉘기 시작했다. 현재 기존 원전 운영국 31개국 중 축소 또는 폐지를 기본 원전 정책으로 채택한 국가는 독일·스위스·벨기에 등 3개국이고 대만이 보류 그리고 한국이 문재인 정부 출범 이후 탈원전 정책을 표방하고 있다. 원자력 정책은 경제적인 효용성과 환경적인 위험성이 서로 극명하게 갈등하면서 공존하는 매우 복잡하고 미묘한 성격의 국가적 과제다. 따라서 국가마다 신규 도입하는 단계부터 유지하는 과정 내내 축소, 폐지, 확대 등 정책적 방향 설정을 놓고 치열한 논쟁을 벌이고 있다. 우리나라도 문재인 정부가 탈원전 정책을 선거 공약으로 내세우고 이를 시행하는 과정에서 찬반 양측으로 나뉘어 논란을 벌이고 있다.
[키워드로 보는 사설] 전국법관대표회의 상설화 논란	2017.07.04		전국법관대표회|상설화 결의|이번 법관대표회의|고등법원 부장판사|키워드로 보는 사설|	지난달 19일 사법 개혁을 논의하기 위해 전국 각급 법원을 대표하는 판사 100명이 모여 법관대표회의를 했다. 전국법관대표회의는 사법부 독립이 흔들리거나 재판의 민주적 절차가 흔들릴 때마다 소집되곤 했다. 회의 소집 자체에 대법원장 등 사법부 수뇌부의 결정과 절차에 대한 판사들의 불신임이 담겨 있다는 점에서 법관대표회의는 ‘사법파동’의 성격을 띠어 왔다.     최초의 사법파동은 1971년에 있었다. 반공법 위반 등의 사건에 무죄나 선고유예 판결을 내린 이범렬 부장판사 등을 당시 정부가 구속하려 하자 전국의 법관 150여 명이 사표를 낸 것이다. 98년에는 소장 판사 430여 명이 법원 독립과 사법부 민주화를 요구하는 서명을 벌였고 93년에는 법관 신분 보장, 2003년에는 대법관 인사 구조 개편을 요구하기 위해 전국법관대표회의가 개최되었다. 지난달 28일 양승태 대법원장은 이번 법관대표회의의 제안을 상당 부분 수용한다고 밝혔다. 구체적으로는 1심 재판의 전면 단독화, 법관 인사 이원화와 고등법원 부장판사 보임, 법관 근무평정 및 연임제도, 법관 전보인사와 사무 분담, 사법행정권의 적절한 분산과 견제 등 사법 개혁 과제들을 나열한 뒤 이를 함께 논의하자고 제안했다. 나아가 전국법관대표회의 상설화 결의를 적극 수용하겠다고 말했다.     이에 대한 우리 사회의 평가는 엇갈린다. 상설화된 전국법관대표회의가 대법원장의 권한을 분산하고 법원행정처의 관료화를 완화할 것이라는 긍정적인 평가가 있는 반면, 전국법관대표회의의 대표성을 문제 삼으며 이 조직이 ‘판사 노조’의 성격을 띨 것이라 우려하는 시각도 있다.
[키워드로 보는 사설] 소득 주도 성장	2017.06.27		사설|키워드로 보는 사설|키워드|소득 주도|저성장 침체|경제 성장|	‘2017년 추가경정예산(추경)안’에 담긴 문재인 대통령의 경제 철학, ‘J노믹스’의 핵심은 ‘소득 주도 성장’이라고 할 수 있다. 한국 경제가 저성장 침체에 빠진 직접적 이유는 가계 소비와 기업 투자 침체 때문이라고 할 수 있다. 소득 주도 성장이란 일자리 창출 등을 통해 가계의 소득을 늘리면 소비가 증가하고 기업의 투자가 활발히 일어나 고용 창출과 경제 성장으로 이어질 수 있다는 주장이다. 정부 주도로 소득을 높이면 노동비용을 상승시킬 수 있고 재정 부담을 가중시켜 결국 증세에 의존하는 부작용을 낳을 수 있 다는 주장도 있다.
[키워드로 보는 사설] 보훈	2017.06.20		사설|예고|일자리 추경|논점 일자리|배문고 국어교사|키워드로 보는 사설|	전통적 보훈은 왕의 은전이나 시혜의 성격이 강했다. 전쟁이 끝나면 왕은 공신을 가려내 포상이나 관직, 사당을 지어주곤 했다. 그러나 근대적 보훈은 법적 권리가 인정되는 청구권적 성격을 지닌다.     우리나라는 민족국가 발전 과정에서 식민지, 전쟁, 독재정치, 빈곤, 사회 재건 등 다양한 역사적 경험을 갖고 있다. 독립유공자, 참전유공자, 군경유공자, 민주화유공자 등이 지금의 나라를 이루는 데 기여한 덕분에 오늘날의 대한민국이 존재한다. 이번 추념사에서 파독 광부·간호사, 여성 노동자 등 산업화와 경제성장의 주역이 새롭게 추가된 것이 눈에 띈다. 국가가 공적 감사의 범위를 확대해 시대의 주역을 찾아내고 공동체의 기억으로 물려주고자 하는 자세가 따뜻하다. 국가가 시련을 겪고 있을 때 공익을 위해 헌신한 사람에 대해 다른 구성원들은 고마움과 부채의식을 느낀다. 국민들은 보훈의 현재 모습을 보고 미래의 헌신 여부를 결정할 것이다. 이렇게 조용하지만 자발적으로 형성된 애국심이야말로 진정한 사회 통합의 원천이 될 것이다.
[키워드로 보는 사설] 역대 정치인 입각 사례	2017.06.13		사설|키워드|정치인 입각|현역 정치인|정치인 출신|키워드로 보는 사설|	박근혜 정부의 경우 출범 초기에는 18개 부처 가운데 단 두 곳에 현역 정치인을 기용했으나 집권 4년간 국무위원 4명 가운데 1명이 현역 의원일 정도로 정치인 출신이 많았다. 조각 당시 김용준 국무총리 후보자가 지명 5일 만에 사퇴하고, 김종훈(미래창조과학부)·김병관(국방부) 장관 후보자 등이 연이어 낙마하자 상대적으로 인사 검증에서 자유로운 정치인들의 입각이 활발해진 것이다. 이명박 정부는 현역 의원의 초대 내각 참여를 원칙적으로 배제했는데 국무위원 16개 자리 가운데 한승수 초대 국무총리가 전직 의원 출신일 정도로 정치인 입각이 드물었다. 그러나 ‘광우병 촛불시위’ 사태로 위기를 겪으면서 전재희·임태희 당시 의원이 보건복지가족부·고용노동부 장관으로 자리를 옮겼고, 특임장관도 신설해 주호영 의원에게 자리를 맡겼다. 노무현 정부 1기 내각의 경우 중진 정치인인 한명숙(환경부)·김영진(농림부) 장관만이 20명의 국무위원 명단에 이름을 올렸는데, 5년 임기 동안 국무위원을 거쳐간 81명 중 11명이 현역 의원으로 역대 정부 가운데 정치인 입각 비율은 상대적으로 낮은 편이었다. 그러나 2004년 3월 탄핵 사태 이후 이해찬 국무총리를 필두로 김진표 부총리 겸 교육인적자원부 장관 등을 포함해 총 8명을 대거 내각에 기용했다. 김대중 정부는 초대 국무위원 19명 중 9명이 현역 의원 신분이었을 정도로 정치인의 내각 참여가 활발했는데, ‘DJP 연합’으로 정권 창출을 이뤄내면서 국무총리로 자유민주연합 소속이던 김종필·박태준·이한동 의원이 차례로 입각했다.
